Human readable time,Voltage(V),Current(A),Resistance(Ohms),ADR temp
2017-07-25 11:41:19.930833,0.001,0.001,-132.328,2.9
2017-07-25 11:41:20.931928,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:21.933140,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:22.933370,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:23.934602,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:24.935815,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:25.936720,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:26.937969,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:27.939217,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:28.940503,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:29.941739,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:30.942974,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:31.944214,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:32.945455,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:33.946695,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:34.947860,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:35.949033,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:36.950247,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:37.951508,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:38.952776,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:39.954059,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:40.955316,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:41.956539,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:42.957743,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:43.958897,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:44.959106,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:45.960365,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:46.961622,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:47.962855,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:48.964015,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:49.965229,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:50.966398,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:51.967699,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:52.969235,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:53.970450,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:54.971621,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:55.972835,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:56.974075,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:57.975308,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:58.976501,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:41:59.977742,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:00.978959,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:01.980250,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:02.981415,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:03.982572,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:04.983793,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:05.985037,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:15.480927,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:16.482123,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:17.483398,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:18.484695,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:19.486001,0.1,10,-0.0033327999999999995,2.9
2017-07-25 11:42:20.487279,0.1,10,-0.0033327999999999995,2.9
